Year,Neighborhood,Prophet Forecasted Home Value,YoY_Growth
2033,Hampden South,766070.62,3.52
2033,Harvey Park,766618.66,3.87
2033,Harvey Park South,843983.34,3.81
2033,Highland,1113235.9,3.51
2033,Hilltop,2567555.25,4.59
2033,Indian Creek,585272.61,3.47
2033,Jefferson Park,1033502.5,3.62
2033,Lincoln Park,615174.74,2.74
2033,Lowry Field,1197252.76,3.36
2033,Mar Lee,677960.09,3.79
2033,Montbello,691552.49,3.96
2033,Montclair,1051124.03,3.66
2033,North Capitol Hill,637311.36,2.23
2033,North Park Hill,1021942.65,3.64
2033,Northeast Park Hill,709999.43,3.4
2033,Overland,783065.77,3.57
2033,Platt Park,1257845.47,3.61
2033,Regis,911949.76,3.75
2033,Rosedale,1052904.72,3.61
2033,Ruby Hill,679728.23,3.74
2033,Skyland,886586.27,3.41
2033,Sloan Lake,1263631.74,3.76
2033,South Park Hill,1439305.49,3.82
2033,Southmoor Park,1098959.13,3.79
2033,Speer,744122.47,2.88
2033,Sunnyside,1040376.46,3.79
2033,Union Station,788334.46,1.51
2033,University,1012896.77,3.54
2033,University Hills,884445.39,3.7
2033,University Park,1641458.34,4.0
2033,Valverde,619592.63,3.65
2033,Villa Park,666979.92,3.73
2033,Virginia Village,949885.7,3.72
2033,Washington Park,1907322.72,4.07
2033,Washington Park West,1293347.84,3.56
2033,Washington Virginia Vale,735818.85,3.67
2033,Wellshire,1842961.22,4.33
2033,West Colfax,1040564.1,3.59
2033,West Highland,1223505.09,3.7
2033,Westwood,584273.94,3.72
